Text,Text_length,token_length
شوفو نقولكم الصراحة والله غير تقول سمعتوني كيما كنت نقولها قلت ياريت لوكان يديرو فيديو على جسم الانسان والله غير هادي افضل سلسلة تثقيفية داهروها فالتاريخ و هاد المعلومة بالضبط لازم تزيدوها في معلوماتكم نهار تديرو حلقة على افضل البرامج فاليوتيوب هه ,248,77
اللهم صلى وسلم وبارك على سيدنا محمد صلاة تنور بها بصر أمي و بصيرته في قبرها ,76,27
اا ويياا وجيت انا في الحانوت هداك تاع الحلوة اقسم بالله غير نخلطها ياجدك مانعيا نعيش انتم دولار هديك نخلطهالك بلحلاوي ياجدك ,124,52
خويا اعطيك الصحة عندنا فى بلادنا اماكن شبن ,43,18
وبشرى كانت جوهرة الفيديو سلملي عليها ,37,12
مرحبا بك ناريمان واش راكي يعطيك شويه ضحك هذا رمضان صافا يعني راهي نقعد في رمضان حبيت كيفاش كيفاش يكون في رمضان كيفاش يكون الحاله تاعه في رمضان قوليلي رمضان  انا بعطينا الريكورد علي ضحك الله غالب وين راح يبداو على دوري ضحك  ضحك ابدا ملي كنت صغيره ملي بديت في حياتي  انا كل نوض نتسحر ما عندكش ولا كانت كاينه عرضه كاع الماكله  وقتاش عيطوا لك وكيفاش  مر المولود مول المولود علاش نشفع على هاد نحكي لكم  باش نقدر نكون انا هي سلاف كيفاش يحكي لك هذا سلاف راح نكروشي فيهم على باليش باغسكو هو كيبدا يحكي لي قال لي سلاف غير كتكون تكون وشنو لازم تكون عندها شغل تحب تحب فوالا لازم هاد العفسه تكون فيك تضحكي انا كنت اقول لك رحت عندي ريما ومن بعد دروج خزرتي هذيك الخضره قالت لي اه وين تروحي تناق وهي تخدم غير في القواسم كيفاش حبيتي كامل نموت لازم لك  ضحك كل خاش يديروا لها قلت لها هذيك الغالي يكون على بالي هي كاريزما اوكي كانت حطيت واحد النهار كيعيطوا لي البطحه مع دارتها كان فيها نبيل عسلي كان فيها عدوله كان فيها ياسمين ونسيم حدوش  محمد بن صغير  انا نبيل كانوا كاع الاخرين كانوا كانوا كاع كاع معهم وكان النبيل قد ما نقول لك شحال كان يعطيني كيكون نلعب كيفاش ندخل في هذاك تاع اللي نكون نلعب فيه  خلينا هكا ما شاء الله نسيم هما يكتبوا هما اللي يوقفوا كانوا كانوا واقفين واقفين كيف بديتي تلعبي وليد وليد مايا ما يكره ما يكلفها يخرج منها  نبي نسيم كان يقول النبي ماما ضحك ضحك ضحك ياسمين عبد المؤمن  في رمضان  ضحك  اليوم  نعرف قولي لي ناريمان  ويعطيك الصحه  ميرسي يعطيك الصحه انت ثاني ضحك  خمس اسئله اوكي وانا كل واحد اخر حتى اليوم ناريمان في البطحاء ايوه ضحك شنو هي عاصمه الاردن ضحك قولي لي سولاف ويندات ويندبات وجدته ياكل المغرب  ضحك كاين من حلقه مبروك عليك الكرم ويبارك فيك يعطيك الصحه  ضحك  اعطينا ابتسامه  ما تحبش غير براك بصح والله يعني رحتي علاش زعفتي هبه والله حتى الحلقه الاخيره قبلت بسكندر دراهم  الحلقه الاخيره يعني خليته فيه محنه كامل تكتب باش يعني الناس يفهموهمش حل اعطينا لهم  كاع  الحوماتو المستوى العالمي ولا البطحه  دارنا ديالي ايوه  روميساء نسرين اسماء نعرفهم كاع خدمتي معهم  الوقت فضيله فضيله هي اللي كبيره صاحبتي  ودخلت في فضيله انا ماقدرتش ريشه وشفتهم وعاودت وليت نورمال والنهار كنهرب منها ضحك  ما تقدرش تكون انت تلعب باش تلعبهم انا بلاك هذيك اللي قعدت فيها  والحمد لله تخدم معهم  ثاني من غير  مزاح هضرت معاه يعني نحب نتورك والله ما نعرفهم اوكي  ضحك اللعبه الوقت برك الوقت  وحده اخرى ضحك ونبيل كيف كيف يعني واش نقدر نقول لهم ميرسي بكم انتم  تحيه شكرا تاع هذا العام في رمضان ضحك  ضحك كريم وعندك كريم صالح  ضحك حلوه  نقول لهم واش نقول لهم نقولهم صحه رمضانكم وخلاص رمضان ما بقالوش خلاص صحه عيدكم وان شاء الله تكونوا تزوجتوا مع البطحه ولا مع الاختيار الاول ولا حاجه  نتمنى ان شاء الله كامل اللي يخدموا فرحانين راضي علينا وفرحان بنا وان شاء الله المزيد من العوام اللي جايين ان شاء الله ان شاء الله,2595,903
ساهلة العام لي فات كانت كورونا ماداروش عرس هاد العام داروه و الطفلة ملقيتلهاش حل ,81,31
دقيوس اوو مقيوس واش راهم يستنااو باش يكرموكم ,45,22
   لما تقول لا تسامح مع الديانات الوثنية لازم تراعي المكان و الزمان يعني هو راح لمنطقة نتاعهم و لا يمكن أن يفرض نفسه عليهم رغم انهم كفار المهم الإنسان يتشبتث بالإسلام و ينصح باللتي هي أحسن لأنو الإسلام دين تسامح قبل كل شيء والرسول صلعم كان له أصدقاء من اليهود وإذا لم نتسامح مع الآخرين فهادا يعني الحرب,302,100
المعلومة اللي مكنتش متوقعتها انو الشيلي تنافس سنغافورة على المركز الاول فسرعة الانترنت ,87,29
انا من كثرة ما فهمت والو حتى قنعت روحي بلي هاديك الحلقة تاع البيبي داروها علاجال مولفيكس اشهار ,95,37
عنهم الخرا هذي دولة هاذي جزاءرين طحاحنا ,40,19
العام هذا ڨاع نعيدو من ليبيا ,29,14
إدي سيارة مليحة وحوس هاني  هذي الرحلة فوتها مع الفيراي نتاعك ما فوتهاش مع الصحراء ,82,36
الانسان الزين ولي قلبو زين يبان بلاما تعرفه المهم ربي يوفقك ,60,24
لالاخلي الاغنية ملاحة متتبدلش خير وزيدالمسلسل مليح وعاجبنا,58,25
شكون راهو يعاود فيه سنة بانو فليكومنتار باش نحسبكم من أجملو أروع حلقات عاشور  ,78,31
الفيديو تاع للعضلات حشاهالك وعطالك لي يكبر لاترام ,50,19
بالكور معمرة جواجلة مي الجواجلة في كامل العاصمة وماجاورها تحيا دي خوتي ,71,26
مايكل جاكسون كان يدير هاذوك les pancement لاخاطرش كي دار العملية فالجلد تاعه ظفارايه كانو يبنو تاع واحد ذو بشرة سوداء و ما قدوش يبدلوهمله لهذا كان يديرهم ,154,57
في كل فيديو درس شكرا جواد على هذا الاتقان ,42,14
حداري من الدرون المغربي تحياتي من الكركرات مغربي مزوج جزايرية وعايش فالعيون عاصمة الصحراء المغربية ,99,37
اللي دار جام وكومونتا قبل مايشوف الفيديو يبان هنا ,50,17
   حتا انا مشي موالف نشوف وحدين ف ytb من بلعباس ,48,23
حاب نتهنا نتزوج و نرضي ربي ,27,14
وحنا تانيك عدنا داري الجزائر بلوزداد ومولودية او بلوزداد واتحاد اومولودية والاتحاد ,83,32
خويا انا متابع جديد ماشاء الله على خدمتك روعة روعة والله تستاهل ملايير المشاهدات ,81,28
BRB نعم أخي وهران كييرة جدا لا تستطيع تغطيتها في  دقيقة ممكن يكون فيه جزء تاني ,79,28
احسن جواد تبارك الله عليك احسن فلوقر ,37,14
الخال في بنتو شكر ويزيد  قارية وما تركتش المسيد,47,21
السلام عليكم بدون ان تعتدر يا اخي جواد المهم ان لا تيأس و الامل و الامل دائما ان الله في عونك توحشتك بزاف احبك في الله ,119,41
جزاك الله خيرا أخي جواد واصل بالتوفيق ,38,16
راطيت وحد اللقطة تمينتك تهدر عليها ,35,14
الله يبارك هه انت ناس ملاح خويا راك رابح ان شاء والله يفرجها عليك و ادعي لي ربي ثاني انت يفرجها علينا ,102,37
انا مافهمتش حاجا معا تالي بودوخا قال لمانينا ماكنتش با نقتل جواد و قنديل كتلو م وماماتش و معا تالي برهان قعد يشوف فالهاشمي و غضبان مفهمتش ,138,59
   قانون داخلي تاع فرنسا السفارة ليس لها الحق ان تتدخل وفي فرنسا منطقهم ان الاطفال أبناء الدولة حتى بلوغ سن الرشد ,114,37
انا وراسك شوف حجرات شاكر يهدر مع قبور هه ,41,18
لكل من قصر في بداية رمضان ,26,10
ماشاء الله ربي ابارك ربي احفظك خويا جمال ,41,17
اللى فاتوا إيامه ما يطمع فى أيام الناس ,39,16
ياخي حنا كتر من مليون ونص شهيد لا فرونسا القحب نقصو فيهم وقالولك مليون ونص برك  ,80,29
 xwdydpk  هي ضرورة شعرية بس لكن أكيد مافي رب إلا الخالق الباريء المصور سبحانه جل في علاه ,89,37
معجبتنيش كي درتوها على جال الإشهار,34,15
هه سبحان الله نتا و خوك براهيم فوتو كوبي ,41,18
انا تاني كانت عندي هادي الفوبيا ,32,11
خويا جواد منين راك تجيب في تقشير هداك مزخرف بألوان قوس قزح زادو في رجليك نص هه تحية ليك خويا وربي يوفقك ,104,48
   الاخت راني في لندن انا جامي نتحي خاصة الجزائريين تع نيويورك اخمج جنس تجديهم في حياتك درتها بلعاني باش نشوف الرجولة مكاش قع الشر يا الشر نعرفهم مليح عشت لتم حاشا الرجال ستة أيام و لا احد قال راني هنا ميتين بالهم جيعانين نعل بوها بلاد امريكا بلاد الشر الحمد لله هربت منها ,273,99
ربي يحفظك ويسعدك ويوفقك يارب العالمين اجمعين ولكم ولي التوفيق والنجاح الدائم وللجميع اصدقائي واحبابي,100,36
تشختشوخة ويلا تاكلو بهه ويعرف يغني ناس ملاح ,44,21
مسكين في الأخير مسكه تسمم غذائي ربي شافيه وعافيه ,49,19
و الله بدون مجاملة نتا أحسن واحد عنده محتوى شباب و حاجة تاع وقت غادي العالم العربي يسمع بيك عقل على الكمونتار تاعي و ديرله كابتيرر نشوفك بعيد ربي يوفق ولد بلعباس ,162,58
قال كلام مليح على بلادنا و أنه ركز على الجزء المعمر من الكاس و من المهم نعيشوا فالحياة بهذا النظرة و نكملوا في تحقيق الاهداف ديالنا لأنه مكاش مكان فالعالم بلا عيوب و نقائص ,172,58
بيلال همبوك دير جزء الزاوج شكون راه معايا ,42,18
كي راح مومو خراباني عرفتها راح افض الدلال و الماكلا اللوكس غير المكارون هه يعطيك الصحة جمال ,92,33
على بالي انت دايما اوكي occupées دايما حكمين تليفون وهذا يا مشكل هذا مشكل عويص ما هو مفيد ما هو ماشي مفيد بسك علاش ولا عضو لا لا يتجزا منا ولينا احيانا ندخل باش ندير حاجه,170,60
ميستر اكس هوا البرنامج الوحيد لي يستاهل تستناه و تتفرج عليه ,60,19
خبيب بن بطوطة العصر الحديث شكرا لك على هذا المحتوى الرائع ,58,20
نورمالمو راه عندك مليون متابعة نحير واحد مثلك محتواه هايل وعندك مهوبة تع صح ومتابعين قليل بالتوفيق ,99,34
من بكري نتبعكم نموتو عليكم كملت ,32,15
البلاد راك غالط فيها غير ديمقراطية ,35,15
فيديو رائع جدا نحييك من المغرب ,31,12
تلمو مين نشوفك نضحك هه راك فور صاحبي ,37,18
ما أفهمه من كلامه أنه إنسان يغتنم الفرص التي يضعها الحظ في طريقه و هذا ما حدث مع معظم الجزائرين الذين بنو ثروة بانفسهم شخصيا أعرف إنسان يصنع حلويات ماشاء الله إتصلت به سميرة تفي في لكنه رفض المشاركة في برامجهم رغم إصرارهم لانه يخجل من الوقوف أمام الكاميرا لا حاجة أنا أقول أن لا أحد يعرفه خارج مدينته الصغيرة أنا في راي هشام رجل أعمال ناجح حتى الآن لكنه ليس قدوة للناس نجاحه راجع إلى ألحظ أكثر منه إلى التخطيط و العمل على ألهدف ,428,144
والله غير كنت رايحة نكتب ديرولنا حلقة علا التكنولوجيا وهكا صوالح وانا ماذا بيا كون درولنا حلقة علا البحر ,105,37
الله يبارك مشاء الله شابة بلادنا ,33,13
 كتلتني بضحك ولا غاع الفيديو كتلني بضحك  ,41,18
خويا كيفاش جبت رخصة استخدام الدرون ,35,13
قال رسول الله صلى الله عليه وسلم ,33,9
الله يبارك و مشاء الله يعطيكم الصحة الرجالة ,44,13
أحسن ثنائي الله يوفقكم يا ولاد بلادي ,37,16
الماساج وحدوو والأكل يشهي أهم شي حسيت انو الشعب رغم الوضع سعييدطول الفيديو مبتسمة شكراا خبيب ,93,36
الحلقة تع اليوم تقتل  بالدموع ,30,12
تحية كبيرة لجميع الممثلين وربي يشافي صويلح و يرحم النوري ,57,23
الله يسرلك كل امورك لي في طاعة ربي ,35,15
غاولوا أجرو هاڨيواقي لعبة بوبيبلاي تايم ,40,20
يا الله يا الله يا الله يا رب الحمد الله أنك بخير ,50,15
الرسالة وصلت الحسد و الغيرة في مجتمعنا للأسف ,45,18
ربي يحفظكم ويوفقكم نشالله ديرولنا الحلقة على دين و إسلام و أنبياء ,66,26
بارك الله فيك في ميزان حسناتك يارب مزيدا من التألق والابداع متتبعك من ولاية الشلف  ,83,31
تشجيعاتي ليك و تحية الولاد والبنات وناس الجزائر شهداء  تحية ليكوم و ابوني التشجيع والدعم مغربي  ,96,34
براضو براضو مستر إكس دائما في القمة كمل هكداك  ,47,21
باينة بسك فيها صبغيات الخلية داخل النواة تاعها او صبغيات هي ليتحمل صفات الوراثية الادييان  ,91,35
ديريلنا زووم على البلاطوهات نتاع نهار العيد ,44,21
اللهم إجعلنيوأحبتي أغنى خلقك بك  وأفقر عبادك إليك  وأرحمنا رحمة تغنينا عمن سواك  وحقق أمانينا  واجعلنا في أمانك وضمانك وحرزك يارب العالمين ,139,62
الذين يريدون الثورات والله لا يفقهون شيأ ,41,17
هدا لحمام في ف طريق زلفانة ,27,12
معليشي السرقه تصير في كل مكان حتى في ليبيا عندنا وخاصة بعد الثوره السوده ,73,24
شكرا جوااد ربي يحفضك حوسنا معاك وبدلنا الجو وضحكنا ,51,25
دروك عاد فهمت علاش انا ماطفرتش هه الشعب قاع ينوفق غير أنا ,58,26
غير الجديد مع خونا خوباي  ربي يوفقك لحبيب ,42,17
بفف زتي فاها شوية هو خدمتو في يوتيوب ماشي والي ولا وزير  مسابقة ,64,26
سلسلة هذه من بين أحسن ما قدمت خويا لغالي keep going ,52,20
Momo Bibo نشاله ربي يحفظك شحال نبغي الشخشوخة هه ,48,23
السلام عليكم خويا جمال يعجبني المحتوى تاعك بصح كون غير تنحي الموسيقى  ,70,23
في أختي قليل قليل طبي ودوايا,28,13
ماشاء الله عليك أخونا محمد أنت شرف الجزائر بتسويقك المحترف وبطريقة عصرية مبدعة للجانب السياحي لمناظر ولاياتها الخلابة والساحرة وياريت لو تتلكم بعربية أكثر لتصل فيديوهاتك إلى جميع أنحاء العالم العربي وتكون بذلك قد وفقت بإفادة بلدك من جميع النواحي الإقتصادية والثقافية وفي نفس الوقت تعرف سكان بلدك كذلك بمزيد من المناطق التاريخية والسياحية في ربوع الوطن ومن دون نسيان الفائدة الشخصية التي تزيدك شهرة وربحا  تحياتي ,412,133
الجزائر مهد الحضارة والاصل والتاريخ والباقي تقليد وسرقة ,56,21
حلقة هايلة حبيت النسقسيكم نتوما صحاب ولا توام لقبش تتشابهو بزاف ارجو الرد متخلوهاش في قلبي ,91,40
اا شيليا روعة رحنا في الشتاء كان تضحكو درنا شوا تحت المطر بصح روعة يعني ماعندي مانقول فيا تحية من بسكرة ,104,40
هــذآ اسمو تيس شامي اصلو مــن غوطة دمشق ,40,23
الله يعطيك الصحة صاحبي ربي معاكراك تعي صاحبي يليق تروح عند أيت عمران  باش تجبد اللحمربي يهنييك توحشتك  ,103,40
هل لمس الكعبة من الدين  الدليل وجزاك الله خيرا ,47,18
انا كيما ايقولو عربي بصح عمري لفرقت بينا او خوتنا القبا ءل تحيا الجزاءر ,72,30
بياسه يخويا يخويا اعطونا نيمروهاا يا خويا ياخويا ,49,26
ربي يشافيه والله اسطورة أخلاق وتمثيل ,37,13
الواقع المؤلم الذي تعيشه بلادنا في الوقت الحالي  ,49,16
والله لقمان هذا صاحبك صمطها شوي القناة ,39,15
شكرا يا أخي باارك الله فييك و الله حنا من دار حوسنا معاك تعيش خويا رب يحفظك ,76,30
Oussama Tahir إذا حبيت كاش نهار نديك معايا لسويسرا الجزائر بلا فيزا و بعيدة ب km برك على الجزائر العاصمة  ,106,35
معجبتنيش حاجة علاش كي تروح لكامل لبلايص ديرلهم pub وكي جيت لشريعة مسميتش مامبا اسمها ,85,39
ربي يرحم عمي بلاحة ويدخلو الجنة بلا حساب ولا سابق عذاب ,55,22
شكوون لي راه يتفرج فيه رمضان مارس ,34,12
علاش ماكاش حلقة تاع زووم البارحخصت عفسة فالسهرة,47,23
برافو يا حبذا لو كان هذي المساعدات تكون ولا تنقطع هنا في الجزائر و في ولايتك و بلدتك و نحن مستعدين للمساعدة بابسط الاشياء ,122,41
دوكا انا جزايرية علاش راني نقرا فالترجمة  ,42,18
بلادنا مليحة حنا لي ماشي ملاح ,30,12
وفقك الله في بقية حياتك فخور بكوني أشاركك نفس الأرض و الوطن و الهوية فليفتح الله طريقك أخيلايك من فضلكم ,104,40
وكما قال الزعيم سيفو ڨاليلو ڨاليلي اسم تع باكي ڨاطو  ,53,28
مكان جد رائع و فيديو أروع خويا خبيب يعطيك الصحة وبارك الله فيك وفي أمثالك  ربي يوفقك إن شاء الله  ,98,36
اذربيجان كانت محتلة من الصرب والحمد لله استقلت بمساندة اردوقان وانسحب بوتين ولقد اعجزهم الله عن احتلالها لانهم حق مسلمين ومستضعفين فالحمد لله وخير ماصورت يااخي خبيب ,165,63
علاه ما تروحش لقلعة هوسكا في روسيا ,35,17
خوية درلي ابوني انا ولد بلادك الله يسترك دنيا واخرة ,52,21
يجي نهار و نتلاقو في نيويورك ان شاء الله ,41,16
 خصارة قعدت غير حلقة واحدة نحيت علينا غمة خويا سمير  ,53,20
انا كنت ندير كتر منو احم ,25,11
مدمت انك فلسطيني فأفتخر يا اخي انت جزائريسطيني ,47,19
   السلام عليكم  بغيت نڤولك خوي ان الكلمات عندها وزن وميزان في كتابتها  ماشي غير رواح وكتب وڤول أنك شاعر  لازم تتقن علم العروض والبلاغة والفصاحة في كتابة الابيات الشعرية   أما الموسيقى السطحية بدون بحث و لا خدمة معمقة تبان في البداية  لازم تكون عندك أذن الموسيقار حتى تعرف وتميز بين الجودة والرداءة ,299,106
بصحتك يا خويا حتى انا مطلق و باغي نتزوج ,40,17
حلقة روعة المسرحية و من بعد غنية شاموتي وغدار ,46,18
جمال هو اعضم انسان شفتو فحياتي من جميع النوحي خوتي عونوني بالأشتركات في القناة ,79,30
حتى احنا في الشرق نقولو بلااش على خاطر باطل ضد الحق Salem ,58,18
افضل سلسلة رمضانية من حيث التقيف وافضل صناع محتوى قادة وميلود الله يبارك ,73,26
يعطيك الصحة المونتاج خدمتو بطريقة حرفية انا موجود في أمريكا منذ تقريبا خمسطاش سنة مازال ماشفتش هنا مناطق طبيعية مثل القالة و جيجل عندي أمل نولي نعيش في دزاير ان شا الله قلبي ما زالو معلق لتم ادعيونا بالتوفيق ,208,70
لخص كل شيئ ما تلقى ما تزيد ,27,13
اعرفي كيفاش تعلميهم المسؤولية بالحاجات الصغار لي يقدرو عليها و للوقت تطور ,74,28
و لكن ماذا يفعل المسلمون في مثل هذا اليوم هل يسمح لهم بارتياد مساجدهم سبحان الله قد زرت هذه الجزيرة و لم ارتح نفسيا فيها مدن المسلمين الاندونيسية ألطف و أطهر ,158,56
من الصباح و انا نستنى فيه و اخيراا ,35,14
كمال عبيدات كي يهدر يجيني القي ,31,11
انا في مازلت نشوف فيهقصت سعيد و حزين ,37,15
عنده تجويد و نطق غاية في الروعة أخونا من اندونيسيا ,51,23
الله يشافي إن شاء الله صالح اقورت ,34,11
بصح علاه راكم مدرقين شعار نازيين ,33,15
يا لميمه بقي بنتك بسلامة سعدها يبقى بلعز ودلال كون خير داروها في العرس تاع عبله ,80,29
يارب ساعدني وساعد كل محتاج وانصرنا ,35,15
وكاين واحد في صحرتنا صحرة المنيعة حمام بركين ,45,18
اأ قلتلو الحمار قلم ما تامنش بلي جا من والو ونت,47,19
لي جاي من فيديو مانسوطيش يفرڨع لايك  و الاشتراك في القناة  ,59,22
اخي اكتب من فضلك ان شاء الله هكذا تؤجر ان شاء الله كلش تقدر تكتبوا بالدارجة الا اسماء الله و صفاته سلام يا قاسم محرز ,117,38
ادعو معايا ربي يستجيب الينا هذا الدعاء ,39,15
لكنها تحمل في ثناياها الطيبة والرحمة لا تتزين بالذهب والفضة,59,23
بارک اللہ فيک و تقبل اللہ منا صالح الاعمال Money sent status pending ,69,19
بخصوص حمام دباغ الأسطورة تختلف من شخص لآخر قالمي مر من هنا ربي يوفقك خبيب واصل ,79,34
منطقة واحد كانت في راصه نملة بغا يڨلعها قالتله حمبوك التزليجة التالية وصاي ,75,30
علاه قالي أخلاقك تاع مسلم وانا حاب ندخل للإسلام ومالقيتش لي,59,23
مكاش واحد يضحكني كيما شيخ لي داير نواضر ,40,19
أجمل و أروع فيديو تفرجته فوور خويا آنس كمل ربي يوفقك إنشاء الله ,64,28
اجمل مسلسل واجمل كوميديا واجمل ممثلينتحية للمخرج جعفر قاسم  ,60,23
هه انت تفوقت على روحك درنالك كاميرا كاشي هه والله روعة ,55,23
حرام فيديو كيما هذا ما يوصلش مليون مشاهدة ,42,15
الله يرحم النوري و يوسع عليه ,29,12
الله يرحمك نقولهالك قبل ما نموت هاذي دنياا ,43,19
 قتلتني حرك المرميطة كيما قالها هذاك,36,17
أهل اليمن أهل الكرم والجود وهدي هدي لابن اليمن وأهل اليمن دق التحية,67,22
حتى حنا عنا زيت كيما هكا بنعمي هه نوري وحده ,44,19
اللهم كن مع الفقراء  اعنهم و ارزقهم من حيث لا يدرون ,52,22
حياتي كامل كنت قعد نقول شكون تيرا فليشة دوك كي عرفت طحلي مورال جزء ثالث ماقسوهش كامل سمحولي ,92,38
واش ربحنا من الاستقلال غير لعلام معلقة ,39,15
وأكثر من هذا لنا الفخر والاعتزاز أن لدينا أحد رموز هذا الوطن الغالي بلد المليون ونصف المليون شهيد,97,30
والله اننا شعب فريد من نوعه و نستاهل هذه الفرحة في الداخل او في الخارج يا ربي ان شاء الله دائمة ,96,33
بصح مش غير ذراري لي يتفرجوكم ثاني لبنات ,40,16
 zumywgb  لالا نحبو بلادنا بلا منكدبو على رواحنا عندنا نقص في المرافق السياحية كان يهتمو ببلادنا كيما لازم الحال واحد مايبقى يروح لتونس و لا تركيا ,147,54
لازم نزور هاذا البركان كشما نلقى ديامون ,40,19
راك مع لافامي ياتاع ربي يالمومنين ,34,16
