Text,Text_length,token_length
   Khouya rani drabt tala ala la chaine we dert abonné we jai liké les vidéos li chafthom bassah khouya la chaine taak assemha Rais Hamidou mais makanch meme pas vidéo ala Rais Hamidou  ,186,58
Hahah sa réaction Algeria moi on me dit negeria tjrs je corrige ,64,18
Bssah yaatiiQ saaha good job ma shaa allah ,43,16
Meli bdit wnta mae les publicity video cmpl rahat ghir fel hedra ,65,20
Kont fi omti w ma chatkch  ,27,11
tu donnes de lespoir tu sais Mercii Djamel ,43,16
Il faut tout de même les moyens  qui semblent être simple pour toi mais pas pour  dAlgerien,91,22
Tanguy Srw oui voila  à la base le rap est un moyen de faire passer un message ou un sujet  maintenant cest juste de largent  des raps qui ont limite plus aucun sens et des insultes inutile ,190,48
Je suis daccord ème saison et ème saison rien a voir ,53,16
tban nass mla bezaaf ou inssan baasit allah ybaarek bayna galbek byad ,70,28
KhouYa NormaLmon imagine  Dirha Ma Saide Mchi La book  ,55,19
les fe omazal yetfarjo ebetelna wahda ,38,16
Et biensur goûter la chakhchoukha et zfiti double ar ,53,19
Par moments javais envie de pleurer car niyethoum est pure comme la pureté de ce désert,87,23
Khassni triko ta ma taamench alek ,34,14
Content I watch putting everything aside ,41,8
Les galères font partie de laventure Montre nous tous ,54,14
Lah ybarek Hbibi Natmana Ndiro Nhar Nkhrjo Fih Ana wiyak ,57,25
I dont know why but the Mario cart drive made me tear up its so cool,68,17
rockstar post malone ft  savage ,32,11
dz fiha boutesrika berk hada makan hadi ta rabi a par haj wahdoukhra dz ,72,24
Bsah film top nmot lih mais dirto une faute khatch machi nafs lbir bon courage saison  ,87,25
ur voice when just wake up haha so sweet ,41,11
Je suis à un entretien pour être sur le temps de la part de la part de la part de la part de la part de la part de la part du fait de le temps passe vite de tes vacances et jai un entretien ,190,47
La séquence de la vendeuse al ana tani commerçant machi atili commerçant et puis hiya kanet abba taref ida yechri la poupée pour sa fille wla bent wadakhor pask kanet tedragui fih ,180,54
Omg do more vlogs youre killing it ,35,11
Walha re rabi yafdo re chafto mara lowla re arfto bali khok rabi khalik anchlha ,80,31
I love you man Keep it up ,26,9
My mind is very pleasant when I see the natureiam a big fan of you sir ,71,19
aramhh m atrat lih la geologie f bbzwr ,39,15
wish you all the best you are amazing hope we see more and more  ,65,16
Je te suis depuis  ans  je trouve que ton contenue est juste magnifique ,72,18
Hello Malek thank you for your feedback  we will make sure that he will get your message ,89,21
   Je ne dis pas que ça nexiste pas dans dautres pays Relis mon commentaire peutêtre tu comprendras mieux cette foisci ,119,32
Bshtak ana mn biskra centre mais rawa  ana jamais dort fi wilayti ,66,22
ils ont le meilleur sens de lhumour  tahiya lahja tehom mdr bezaf spontané ,75,25
Normalement il y aura la saison se ramadan inshallah ,53,15
bsahtak sahbi qalité fi sony chaba bazaf ,41,16
lia this gay hes clearly clever keep going mate you ganna be big man on the future inchallah l m just wanna tell you something spend your time with a good think respect Djamal ,176,40
Limfhmach wlh ghir mahuch djazyri djafer qassam rawa ,53,22
WééYy wald bLadi  nmout Liik ,29,17
Hadi léquipe ki Tsepaaraw raht fihaa ga zid dayrin oja hkayaa la djal publicité  ,81,27
Anta hatman amazoghi w machi aref  ,35,13
I actually love Pakistan it is definitely on my bucket list Pakistanis are one of the nicest friendliest and hospitable people you could ever meet but getting a visa to Pakistan is a bit difficult ,197,39
Le paiement se fait ici en Algérieune fois je récupère ma marchandise   ,72,18
Wlh tu as raison  lah yarhem nouri ,35,13
nlk haja trflha nta hbb wlh ya hbb ghir trflha,46,20
Vive les algériens et surtout les kabyle ,41,12
La diaspora algérienne na jamais rien apporté de positif au pays ,65,16
mak l dernier second rabii yink oya djamel ,43,15
Svp ana afloli ads manager hkit ma suport madili formulaire namro hna malgtsh wash naktob please explain why you believe the content should not have been removed ,162,39
Bsh YdirLna  Vidéo F Simana Mchi  ,34,16
Walah ya djawad khoya lokn jaw labad kml kifk lokn denya ay bkhir insan positive tadkhal lalalb rabi yhfdk nchlh ,113,42
Nta bezaf insane metwada Allah ybarek wllh ghir ki nchof t videos manhashomch f dzayer bonne continuation et merci pour les vidéos ,131,40
salam khouya djamel andek drone pour les photos aerienne ,57,18
   btoufii hichhm love you fllal bhh ,37,20
moi perso je narrive plus à faire mon marché tranquillemet une mendiante en bonne santé cheveux teints en blond m agresse et agressé les gens les autorités locales devraient faire des rondes dans les marchés embarquer tous les mediants et après vérification relâcher seulement les nécessiteux ,293,62
salam merci beaucoup jaimerai savoir svp es ce que vous me recommander un écosystème ou un incubateur de projet  ,113,30
  hada ma kan ya pas plus a dire ,33,14
respect its not easy to bring another culture to here and make it looks like something normal good luck bro ,108,22
La fin ta cette saison tayi ndemt li chefto  ,45,15
 ikraam wlh la mt wdk nta bilala vraiment video incroyable merci à tous ,72,20
Salam cv ana mn alger nhb achor ,32,12
VIDEO KOWA ALLAH YAHFEDKOM LA ANASAI ,37,15
Saha khou svp win djaia l pizzeria fi Hocine day djoatni ,57,22
What did u study in uni  for the guy was it ESI ,48,16
   naan cest vrai Laquelle   ,29,11
imene doudi wlh gi hata ana hh ,31,13
Merci Cest lobjectif à terme inshallah ,39,12
Ya kho Rana habin l course ta Facebook ads hada makane w bla mananssa podcast waarr kho ,88,25
a good editing i love it keep going ,36,10
Mdr la mamy elle réagis même pas on dirait une statue ,54,16
Soubhanallah g déjà dit q hasseni la présence taeou bazzaf f l série ,69,22
tu as lair fatigué avec les rides sur les yeux un conseil mon ami prend un bon coup de sommeil pour en finir et noublie pas la rokia chariya pour se protéger contre la jalousie OK ,180,46
 mes potes à mon enterrement ,29,9
Hello c vrai MAIS à côté il avait le plan B de retourner chez les parents et avoir un job  il est pas parti de zéro en plus cest son père qui lui a payé son installation en France  ça aide énormément mais il est ambitieux sympa et bosseur ,239,58
Jadore ton énergie dans tes vidéos et surtout ton sourire je te souhaite du succès  You are a good bloggers ,108,24
Allah ybarek episode bzzf chaba sokor had chira rebi yahfdha lmaliha ,69,25
Stp titre de chonson f debut ,29,10
keep creating your content lovely efforts ,42,8
 ans dexpérience en quoi si vous désirez répondre biensur ,58,15
Le rap coréenJai jamais essayé  ,32,10
Super vlog With a perfect advice of prophet mohamed ,52,12
ina lilah wa ina ilayh rajion ,30,12
Jawad khouya kol khatra tmadili dik taka bech nkamal w jamais jamais dont give up thanks you brother ,101,29
mzabi li derto exemple w dhakt lih cest une ecole du commerce en Algerie ,73,21
You deserve  millions vuesgood luck my friendkeep going Ali from Morocco ,73,17
raho deyer zoj les videos deja ,31,11
Je comprends pas ces constipés qui mettent DISLIKE  ,52,13
Ramzi gadzhi hahah thanks bro for the informations ,51,13
U deserve all the happiness love u Mourad ,42,11
Where are You djawed vive lAlgérie ,35,11
The hornbills look like Oriental pied hornbill please identify  ,64,13
Saha ramdanak kho rabi ywafkak lmachakil nta latrouss safait parti de la vonture walatrouss il fait parti de la famille slm ,124,40
   pas le casque mais la cagoule parce que,42,14
I wish I could do something like that ,38,10
hh machi smaetha mlih ana kont maehom ki kano ytourniw W hadok maytayhouch gae ,79,31
top kho ana eli hdert mak fl vib ,33,11
you are the best mister x ,26,8
Voici la vérité de la vie ,26,8
What camera do you use to record in K  ,39,11
   tu veux que je tenvoie la vidéo où il y a cette phrase ,58,20
En Europe l homme est classé après le chien  ,45,12
nt pour une nouvelle saison pleine de surprises de rires ,57,13
hfdQ frr kml kima hak tjbni ,28,15
ndk bzzf madrtnach vidoi twhchnak hbb ,38,19
Tes vidéos sont magnifiques bonne continuation ,47,9
Khoya kmmel rbbi mak wtaiya lkhawtna li fi DZ  ,47,20
 wlh mzelt ndek la hed video ,29,11
 rebi yzid men amthalek  ,25,10
Fl ema ml message ml nd khok Ahmed BLB podcsteur ,49,17
HAYAK ALLAH AKH DJAWED TAA NEW YORK AANDI BEZAF MA CHEFTCH LES VIDEOS DYALEK AMSAYNA WA AMSA LMOLKO LILAH WA LHAMDOULILAH ALLAHOMA NAS ALOUKA AN TAHFADH KHONA DJAWED WA YWAFKEK ,177,74
ma fhemtch ana qadt tema chal w jamais cheft ybio melfouf temma ,64,22
I liked it one of the best videos i have ever watched bravo khoubai ,68,18
Hadi aucune idée khou  ma dkhelnach bzzf dans les details ,58,20
Merci pour la vidéo absolument merveilleuse bon courage les jeunes  ,68,13
Meme si elle navait pas dintentions saine des le depart il navait qua divorcer prouver quelle lavait utilisé pour les papiers etc pas la taper Il nest pas nette,160,40
Vasy DJ fait péter le son Rest In Peace,39,12
Allah ghaleb les plus belles dattes sont exportés on connaît pas leurs goût il faut aller en Europe pour la goûter eh bien cest bien fait pour nos gueules que des marocains se moquent de nos dattes ,198,47
Slm khoya ana habitt natla ma wlidi andoo ansasq yader yara nrml ltembla les papierw chhal lakra ltem  Wch mn plassa mliha ltem llmicha wfiha lkhedma Wchhal lazam tala drahem mak bch tekri lyamatt lwala stp jawbnii en urgence ,226,85
Riahe fi khrake yia faihe hasade ,33,14
Man bechar ltaghit maknch k kayan  ,35,14
Rabi yarham blaha wa ychafi syilah hh dahakni maskin balota ,60,22
   atini tak mi khali nas tarf ta vie psq mlih wahd yahdr odam nas khir mn priv fih  ,85,35
Kalachtna be BINKS NO SAKE fe tali rebi ykalchak nchallah ,58,21
Nass amla basa anta  alih bazaf  ,33,12
Nouna pour la beauté féminine khti chkon elk fih l irhab hna rehna w sebnaha memra w makan Walo ni irhab ni Walo w les gendarmes llah ibark memrin leplaça w HmD tikejda makan siyahi mafich l irhab lacj tkhewfo f nas ,216,73
jaime beaucoup la qualité de vos vidéos ,40,10
Faites vous sponsoriser par WW Vraiment fort bonne chance les enfants ,70,17
CHKOUN MAZEL YCHOUF LES VIDEO f yji ykheli jaime ou cmntr nchoufou chel rana ,77,32
je viens juste de te découvrir et voilà c le  èmme video que je regarde successivement sans ennuyé ,99,24
Cest chiant ce que tas dis tu ten rend compte  ,47,14
BnadeM heda yetobNy b dehQ respecte sehby et bn courage ,56,20
Reviens aux gens qui achètent par quantités pour le revendre ,61,16
kamal les vlog kho twali mieur vloger f da ,43,15
Charlie Chaplin huwa lewel li mahdarch ,39,11
Salam je vien de decouvrir tes video elle sont magnifique bien filmer bien presenter et sa m apprend l arabe car tu parle doucement et articule je voyage comme toi c mon kif merci de faire decouvrir d autre destination Kamel  france ,233,51
Aucun respect pour son grand père qui vient de mourir ,54,14
Xtreme gamer koya tdar twani abonné ou jam mtnsach drli aljras bach ywslak ka jdid mrci ,88,32
bravo pour le concept w bravo la les gens li rakou djibouhoum  ,63,19
   justement toi qui a autant de folowors cest ton devoir dinfluencer les jeunes  Je tinvite à joindre la page batrabaw ga sur Facebook tu verras ce quon fait pr changer les choses netoyage a fond de lAlgérie nchalah ,217,61
Et oui  Cest le prix de laventure  Surtout ne te décourage pas  Jaime bien ce que tu es entrain de faire  bravo Djamel ,119,39
Wlh rani hab nachri wahd hka kima hda ,38,17
Dakyous w mayous meilleur Sitcom f ramdan ,42,14
Bravo wlid bladi hna rana hna ou manafouch bladna bonne continuation ,69,21
Ystahl w nchlh yerbah l final ,30,12
li dar dislike  rak ghalet kho mchi men temak ytéléchargiw lvideo ,66,22
 lahy bark matatnaa khouya djamal rabi ywfk w merCuuii bcp ,59,26
c est vrais tre belle video comme tu mavait dit  ,49,14
我的鸡巴 essayer de traduire il a le sourire à Éric zemmour ,56,17
weCh Rah ysewer de dzayer khemjouha chebha ,43,18
Bro make money n bounce to ur contry usa will make u crazy ,59,16
C vrai rah dayr ala f Sadeem ,29,11
nta ga manensakch rak fel galb ,31,12
Est ce que je suis le seul à trouver son discours bas  Proffesseur  ,68,18
Retourne jouer à fortnite toi mdrr ,35,12
Un grand bravo à Hicham cook ,29,10
khouya ana nakder naawnek da khouk zawali allah ghaleb  ,56,19
Not even a single sec could be watch unfocused You got me with the Greens in k with that orange yellow ambience ,112,25
Trop belle vidéo jadore les imprévus cest top top ,50,14
This is awesome i felt like its just a minute not a  min ,57,16
xD cest vrai on dirait vraiment quil dit ça mdrr,48,14
Une très belle vidéo comme dhabitude je ss très fière de toi wlid bladii c rare dans ces jours de trouvé un tel travail et contenu sur YouTube keep going ,154,37
Pliz ghonya lirak dayerha f la fin t video wasamha  ,52,19
Nmot lik mknch you tyobz khir mank wlh ,39,18
Même  ans après je lécoute toujours ,36,11
Bravo Cest mon premier amour la kale ,37,11
I suppose I will never be there  but who cares I have my own itenary  Thanks to Marc for sharing his journey this way although I meet him from time to time so can share our stories  ,182,42
Toujours au top continue comme ça ,34,9
Hhh lfikra masroa men anwar hh ,31,13
are golden jackle and dhole dog same ,37,11
Est ce que tu connais le sens du mot foutre  ,45,14
Normale Ana qbayliya w fouq ras w lin ,38,15
Bravo merci beaucoup la had la série machae lah ,48,13
slt cv bien  je peut te demander une chose si tu peut maider svp  ,66,20
Sakina lbab ytabtb sakina hali lih sakina wlidk tzawj sakina zagharti lih ,74,27
rabi yfaraj lik okhti w yarzak b wach f ghalbek ,48,19
Toi tu ne merites pas k dabonné mais  millions dabonnés toute lAlgérie devrait te suivre ça fais plaisir de voir des jeunes qui aiment leur pays et qui prennent soin de leur pays Continuez comme ça ,198,49
abonner f la chaine frr w yla mahabitch khali jaim f comtr bach ykoun ma lwala svp ,83,32
Le malheur que kolma rana nwelo lalor ,38,13
Haha rebi yhafdek khouya tu viens de me répondre à une question que javais à lesprit depuis longtemps tberkellah lik khouya lah ywefek dans ce que tu fais tu devrais faire un saut au Maroc tu ramènes le atrouss une fois guéri le pauvre ntelbo rebi ychafih o tla lih le truc quil faut parceque on aimerait vraiment rencontrer la bonne personne positive que tu es khouya ça fait pas longtemps que je te suis à peine trois ou quatre jours et déja je trouve que ce que tu fais est magnifique tu apportes une grande valeur au Youtube surtout quaujourdhui on retrouve plein de truc qui laisse à désirer mais bon quand il ya des créateurs de contenu comme toi ya vraiment rien à craindre encore un fois rebi ysehel lik o ywefek et on se verrait inchaalah si jamais tu viens au Maroc Hold strong bro  Love from Morocco ,811,199
chKon Li tajbhom hada silsila ramadniYa yban lhna  ,51,21
i loved every single minute of this blog ytgood job legend and keep going ,74,17
le titre de la chanson svp ,27,9
Je lattends chaque soir  Continuez ce concepts même après ramadan ,66,16
Nehebokom o nhmaqo la ljazayer o nasseha chui Marocain ,55,22
Give me a study for Australia ,30,8
Beautiful video w Hassane is so cute ya omri lah ybarek  ,57,17
Vlog khoya fort bzf asit rani f misr,36,15
Il faut ajouter des titres en anglais  Pour donner plus de visibilité sur léchelle internationale ,98,20
This make me happy  all the video with a smile ,47,13
Beaucoup dalgériens sexpriment ainsi je ne vois pas où est le problème De plus ni larabe ni le français ne sont les langues de nos ancêtres Reprocher ce genre de choses cest passer à coté du vrai message des podcasts ou alors cest juste de la critique pour le plaisir de critiquer ,281,66
Cest vraiment la classe travail professionnel qui mérite respect et reconnaissance  Un grand salut de Jijel ,108,21
Tanzania reminds me of MT kilimanjaro ,38,13
Li darou pouce rouge  Je comprend pas leur raisonnement Bravo frere jaodre tes videos ,86,22
dir  saison sil vous plait ,27,10
Que des frustré de la vie  ,27,9
Ah ya khoya Jamal JozT la Arris O makemteksh NchLh Netlaaw kho ,63,25
Malheureusement pour les jeunes de maintenant ça va être du jul pnl ou ce genre de merde la musique mémorable de leur jeunesse ,127,30
Ya Milod dirana rla la music ,29,11
Podcast number one fi dz  yatikoum saha ,40,12
Slm CV ona mnawr allah ybarek ,30,12
Les gilets jaunes  Qui sont ces gens  ,38,11
Merhba bik ndna top kamal tastahal M mich  brk rabi ywafak ,59,23
Slm li endou contact ta mohemed i méchoui s il vous plait ,58,21
Dont ask me how I figured it out ,33,10
vous avait beaucoup de courage je vous admire bon courage ,58,12
hope one day will do a collab video ,36,10
Did you use a phone in filming or a gopro  ,43,13
Le système bancaire est à réformer,34,9
bsahtek wlh ya khou hada ki ttle mn agha ana klit ndou hh  bsahtek hh ,70,31
Bravoo one of the few comedians that makes me laugh ,52,14
Jadore un travail parfait pr la videotu ns fais découvrir des trucs de waw bonne continuation ,94,21
Ki wesletni notification w cheft la photo hsebt anwar jibawi tchebahlh bezaf ki dir nwader sebhnalh ,100,35
Pench through your lense was vivid and lively it felt like I was a part of your travel It was a nice and soothing experience ,125,29
jécoute la musique tout les jours mais les a chaque fois les backs de big ali me fumes de rire ,95,24
ya jaal jema bla bik machi jema ,32,13
Welah ghir khosni tahwisa ana o khoya djamal ,45,19
Amazing one of the few people that really knows what hes talking about the two of you machalah ,95,21
cest du pure  suicide ou plutôt crime contre leur propre marque,63,14
Asalamu alaikum I m from india ,31,10
tbarak ALLAH ya khoya  nass el janob korama bezaf ,50,21
Ya une seule paye dans j veux vivre c l etat unis svpl svpl dite moi comment partir vivre laba autant maman enfin une famille complete apart la loterie  Jespere avoir une reponse ,179,45
Franchement félicitations des chaines de télévision ils font pas se programme ,78,18
   kifach had chkil wahed dar haja ejbetni ditlah nti cha maejbekch ,68,27
shanson f le temp vd ajbatni tini titre ida habit ,50,15
Gole lkache chira bari nwali mak on cople ,42,16
T es le meilleur des meilleurs bonne continuation ,50,10
Il faut nous dire au se trouver cette place exactement à bejaia ,64,16
the best of the best Djawed_vlog ,33,12
LAA ÈLÈH iLLA ALLAH Muhammed Rassoul ALLAH ,43,17
Chabba khoya natlakaw nshallah more Ramadan Rani habat l new york ,66,20
kaspar Gig cest sûr  personnes devant une grille cétait trop impressionnant  ,77,18
ça donne envie de voyager Bonne continuation ,45,9
 heures du matin on est déjà à fond,35,9
Bsahtekom kho wlh kowa ana nhaab lbhaar kter mel ghaba mais wlh ya khoya Djamel rir dieli tani ki nchouf zbel felbhar rabi yahdihom ,132,48
bnne continuation et bn courage fi hyatek rebi maak ,52,14
hbit naerf chkon hadak li tira lflichaa ,40,17
Je suis trop jaloux bonne route la vidéo est trop courte ca passe trop vite vive les zhommes tahia el dzajaier ,111,29
BESSAHA  MAIS NE PAS OUBLIER DE PLANTE DES ARBRES PALMIER C EST,63,24
   Non désolé je nai pas que ça à faire  il y a plus important dans la vie et je ne mattarde pas sur ce genre de pacotille ,123,38
Big Ali déchire tout dans ce clip ,34,11
Omg javais  ans quand cette chanson est sortie Je me sens vielle tout à coup genre je fais ma crise de la quarantaine avec  ans davance ,136,35
djamel ya kho  yatik saha ahor  aucune information sur cet endroit magique ,75,20
jbtni li dhkt ma achour f sbitar ,33,15
oui ana zayad f blida ayach f blida dorijine tai man jijel c vrais rahat fiha jijel ana m les aftis kount dima nrouh noum f plage f sif ki djaw tourist waskhoha khra hachakom sabtou f labhar mazidtch omt fiha safi  ans mazidtch omt nrouh noum ghir mdjihat rochiyat ,265,92
koun kan o ydawi koun dawa raso zid ralat nas ,46,17
Je kiffe comment tu parles on dirait inspecteur tahar Bravo pour ce que tu fais ,80,22
Bonjour svp je vous demande de faire une vidéo sur les études au ÉtatsUnis merci d avance ,90,21
Hhha dehektni jankiez ghan neta deqyous ,40,19
Salam CEST mes vidéos préférées de Djamel toujours un bonheur de visionner vos vidéos avec tous les problèmes qui concerne la réparation de ton vanne Volkswagen tu a raison daller au bout de tes rêves même avec les problèmes que cela engendre après avoir fini tu seras fier et heureux bonne continuation ,304,62
Jadore ce que tu fais jai lhabitude de regarder ce genre de vidéos des autres vlogers non algériens sa me fais énormément plaisir de regarder un vloger algérien qui montre la beauté de son pays chapeau continue comme ça ,220,50
La découverte de cette semaine  Hi from Tunisia D continu frère ,64,14
wah ana hadi golthalhom lazem ga nefoto konter fln ,51,17
Beautifully done as always  Superb was waiting for this for months  ,68,16
 jmaet wtf bro btw im egirl  ,29,12
Geniale Tour und sehr schöne Aufnahmen Eine ganz andere Sichtweise wie meine Touren mit Dachzelt oder Kajak Schaut man sicher immer wieder gern an und macht Lust auf neue Tourenplanung ,185,42
   ana rajal rak naktli rassi okhradjli ma rassi ,49,22
Wellah ya samire yaatik Saha nta ou ga lequipes bravo ntelakawe lannée prochaine nchalahh ,90,28
Caps off bro  wish u da best ,29,10
Mais oui totalement ma fille devras écouter sa  fois par semaine au moins ,74,18
Bon courage pour la suite vraiment très courageux de prendre laventure dans cette période dannée je suis de djelfa il fait froid là bas et ce que ma tiré chez toi cest la façon zen et positive comment tu acceptes les problèmes inattendus et tu gères ton stress avec le sourire et le sans froid très bon qualité de caractère spontané bravo très bonne continuation inchallah ,373,80
Cest une dérogation accepté pour le Québec ,43,11
The little kids stare at  is so cute ,37,11
Allah echafik ya souilah un grand acteur même le jeune comédien est bon ,72,20
Id never seen your videos or channel before but after just this one video you earned a subscriber Fantastic filming narration and photos Well done sir  I havent seen any wildlife photography from India before and wow its just breathtaking Amazing animals and landscapes ,270,47
Mustapha Elainz réspect from algeria my love ,45,15
Fakrtni be dz joker la sarei imaginwe jibo chewiya jdide krahna mn copie coller  ,81,28
Ana mn maghib ou kanfhmkoom mzn taltini bdak ,45,19
Thank you so much for sharing ,30,8
Vives félicitations anes Très bonne continuation et encore plus de succès ,74,17
 this amazing fuing view lool ,30,9
But an advice from a big sister Finish your studies in the US thats what will build your future  With a good diploma you can have a better future especially that youre still young ,180,37
Yakhoya walah yajabni lmohtawa taak mi adina kach khatra mak ,61,25
Comment ça réveiller à Bilal  ,30,9
twaachenak frero nchalah ghir lkhir saa ramdhanak kol am wnta bkhir happy ramadhan hhahahaahahah ,97,36
La serie takm khir m les séries télévisées f ramdan ,52,17
Analytique dima hadik gta  ou fat tetris f sales minecraft mbhr gta  ou tetris ,79,27
Bshatkom khoutii moi nasro de biskra naham likom ,49,20
We need more videos like that ,30,8
Saint tropez win tournaw la serie lui de Funes ,47,14
yakhawti wlh rir ghyrtoni hh pshtkom ou rebi yahfdkom nchlh ,60,26
I love all your videos rk tpresenté les ville w kmll plzz aaji l tlemceen w dir vlogg plzz ,91,32
Franchement cest juste excellent ce que tu fais Khouk de constantine ,69,17
Laventure la nature quoi de formidable doublier pendant quelques jours la vie citadine le stress du boulot et les embouteillages quon subi chaque  ,147,33
Merci infiniment  surtout pour la belle surprise    ,52,13
Oui je confirme he is the best ,31,9
Incredible one once again Keep moving keep rolling ,51,11
Artasaa made my day from pm ,28,10
Djamel ça nous fait plaisir de te recevoir chez nous à Ghardaïa merci de me faire découvrir ma ville stp n oublie pas de faire une vidéo pour les  ksour on t attend mrahba bik Djamel à Caravansérail grand merci  ,212,59
Rwah hichem wjib mak fakri hambok rwah lal bordj ,49,19
résumé de la musique de ,24,8
Non lach ghir tzido liha li ydiro hakak w zwakhin rahom baynin mais nahla hayla ,80,30
HH WLH LA NEBGHIK KHOYA GOOD LUCK WE FANILY LGITEK ,51,22
Mon réveil  du matin qui mettait la famille en pls quand jétais au lycée ,73,20
Mdr  jadore je suis en retard fin  je mamuse de vous voir ,58,19
Win jiha hadalhamam fi bjaya khawti ,36,15
Youre the best YouTubers in the world  Hope you dont miss us for too long ,74,20
Jadore  plein dénergie et heureux allah yadwmhaa ,49,14
Quelle bouffée doxygène Baraka ellaho fik ,42,13
Merci khouya Ramzi poser le lien telegram nta khouya Moussa ou bien whatsup pour le contacte ,93,26
 djamel taleb  win taskon nta kho ,34,13
Stupendous Sublimethanks a ton  dearest Ken and Aditya for this incredible journey into Mowglis jungle  you more than deserve these magnificent sittings after  days of patience courage  loving interest in these natural beings and sylvan settings  As always  your superb videography is matched by symphonic music and soulful narration Keep exploring ,349,71
I cant imagine a world without kadawmiloud ,43,12
Win rah yelab had lbarnamajj mrrftch ga win ,44,17
Dayos w mayos ih Mi itisalat djazair hh madarna walo shab pubg ihoto ,69,26
Wlh awdtha kter men  khetrat ,29,13
   wlh ma saha et non seulement had l ep zoom had lam ga nassa ,63,22
Dizidein aden Yeni Gelin Dizidein adin yine gelen degil tamam mi  ,66,21
Ena nheb les vlogs taak bezef même enteya sympathique ma chaa Allah rabi yahfdek Mélissa de Constantine ,104,30
Ils ont choisi de vivre dans un pays étranger avec la mentalité du pays  sans respecter leur lois  ils nont quà rester dans leur pays et élever leurs enfants à la manière du pays dorigine,187,42
four khouya hicham  bessah alache matedirech sèries semiha ana w baba  ,71,25
Katar mal les vlog rotine taak li maya ydir j aime ,51,17
আললহ তয়ল আপনর আস কবল করক আমন ,29,16
Oooh Mrhbabiik Bessah jit hetta L tlemcen w majitch L ghazaouet dommage ,72,27
Lhaja likhalatni kifach vloger kima nta li rani ntabak malbadya libdit les vloges andak ri k abonné ,100,36
