id,Arabic,English,pred_ar,pred_en,chrf_en_to_ar,chrf_ar_to_en
47467,خليني نسقسيك سؤال، يلا معليش. كيفاش في رأيك تحصلت على الخدمة من الأول؟ ما رانيش حاب نخيب ظنك. الحاجة اللي تدهش هي أن السلوان هو الفرصة.,"Let me ask you a question, if I may. How do you think she got the job in the first place? I don't mean to disappoint you. What's amazing is that solace is the opportunity.",ڨولي سؤال، إذا سمحت. كيفاش في رايك دات هاد الخدمة أصلاً؟ ما رانيش حاب نخيب ظنك. الحاجة اللي عجبتني هي بلي الراحة هي الفرصة.,"1. Let me ask you a question, if that's okay. How, in your opinion, did you get the job in the first place? I don't want to disappoint you. The amazing thing is that the cure is the opportunity.",46.88039653248877,69.32503123840405
713,القرد كان يقلق في هذا الراجل في خدمتو. إيه، واش هادا؟ واش هادا؟,"The monkey was bothering this man at his work. Yeah, what's this? What's this?",ڨرد كان يقلق هاد الراجل في خدمتو. إيه، واش هادا؟ واش هادا؟,"The monkey was bothering this man at his work. Yes, what's this? What's this?",78.88361314377606,92.59878657621695
47173,كيفاش ما تشكرنيش؟,How come you don't thank me?,ڨاع ما راكش شاكرني؟,How could you not thank me?,19.417823651692714,50.550779439287474
40808,حاب نخدم كتاب معاكم وين نكتشفوا قصته كيف كيف داير على القيم والأهداف تاع الشركة ديالنا، مع إمكانية نصنعوا شخصيات كيف كيف. رانا نخدموا على مشروع مهم بزاف قريب وهو أساسي للتطور المهني. حنا راح نمولوا القصة هادي، ونوزعوها معاكم، ونديرولها إشهار، ونخلقولها حملة خاصة بيها إن شاء الله. راني فرحان بزاف بالخدمة وفرحان كتر بلي انتم الثلاثة راكم مشاركين. شكرا ليك بزاف.,"I want to create a book with you where we explore its story together around our company's values and goals, with the possibility of creating characters together. We are working on a very important project soon that's crucial for career development. We will fund this story, distribute it with you, advertise it, and create a separate campaign for it, God willing. I'm really happy with the work and especially happy that all three of you are involved. Thank you so much.",ڨاع حاب نديرو كتاب معاك وين نستكشفو حكايتو مع بعض حول قيم الشركة والأهداف تاعها، وبإمكاننا نديرو شخصيات مع بعض. رانا نخدمو على مشروع مهم بزاف قريب اللي ضروري للتطور المهني. راح نغطي هاد الحكاية، نوزعها معاك، نديرلها إشهار، ونخدم حملة وحدة أخرى ليها إن شاء الله. راني فرحان بزاف بالخدمة وفرحان بزاف بلي ڨاع الثلاثة راهم مشاركين. شكرا بزاف.,"1 want to make a book with you where we explore its story together about our company's values and goals, with the possibility of creating characters together. We're working on a very important project that's very close and essential for professional development. We will fund this story, distribute it with you, advertise it, and create a special campaign for it, God willing. I'm very happy with the work and even happier that you three are participating. Thank you so much.",50.49773951908699,78.5568095538189
8278,سقساه، 'واش هاد السولفان؟ واش هاد السولفان العيان؟',"He asked him, 'What is this thinner? What is this low-quality thinner?'",ڨاللو: 'واش هاد الثينار؟ واش هاد الثينار تاع الجودة الضعيفة؟',"He asked him, 'What's this sulfur? What's this bad sulfur?'",39.19822072018203,42.28335267413921
36880,يا يما، فاتني هاد التريند.,"Oh my goodness, I missed this trend.",ڨاع، توحشت هاد الموضة.,"0-0, I missed this trend.",17.197196499305107,62.077271771907185
27590,اسمحلي، الفرق يلعبو بطريقة مختلفة ضد تشيلسي على كيفاش يلعبو ضدي. ما بقاتش كيما بكري.,"I'm sorry, teams play differently against Chelsea than they do against me. It's not like that anymore.",ڨاع، الفرق يلعبوا بطريقة مختلفة ضد تشيلسي على كيفاش يلعبوا ضدي. ما بقاش هكاك.,"1000 apologies, the teams play differently against Chelsea than how they play against me. It's not the same anymore.",66.35390370895988,67.72270181959486
49967,طبعاً، بالمناسبة، فيما يخص وضعية رونالدو، انسى كامل تفاصيل التيران وهذوك الحوايج.,"Of course, by the way, about Ronaldo's situation, forget about all those field details and stuff.",ڨاع، على فكرة، بالنسبة لحالة رونالدو، انساو كامل هادوك التفاصيل تاع الميدان وهادوك الصوالح.,"100%, by the way, regarding Ronaldo's situation, forget about all the details and stuff.",31.499814533906783,69.85528108417094
10616,راح يمدوا له نقطة إضافية باش يطلعوه من ناقص واحد للصفر.,He will be given a bonus grade to raise him from minus one to zero.,ڨاع راح يعطوه درجة إضافية باش يرفدو من ناقص واحد لصفر.,1 point will be added to him to make him go from minus one to zero.,50.06495668411851,48.0847011459538
23982,في هاد النقطة، كنا محتاجين لاعب يرد، يهدر، يوضح موقفنا، بما أن اللاعبين بداو ياخدوا مواقف ويدخلوا السياسة في كرة القدم. وهنا، أول لاعب رد، أول شرارة، كان محمد النني. مع النني، اختلفت واتفقت معاه كلاعب بزاف مرات، بصح ما تقدرش تختلف مع مواقفو الإنسانية في قضايا معينة.,"At this point, we needed a player to respond, to speak up, to clarify our position, since players started to take stances and bring politics into football. And here, the first player to respond, the first spark, was Mohamed Elneny. With Elneny, I've disagreed and agreed with him as a player many times, but you can't disagree with his humanitarian stances on certain issues.",ڨاع، كان لازم عندنا لاعب يجاوب، ويقول كلمتو، ويوضح موقفنا، بما أن اللاعبين بداو يديو مواقف ويحطو السياسة في كرة القدم. وهنا، أول لاعب جاوب، أول شعلة، كان محمد النني. مع النني، تضاربت معاه ووافقته كلاعب بزاف خطرات، بصح ما تقدرش تضاربو على مواقفو الإنسانية في بعض القضايا.,"1. At this point, we needed a player to respond, speak up, and clarify our position, since players have started taking stances and getting involved in politics in football. Here, the first player to respond, the first spark, was Mohamed Elneny. With Elneny, I disagreed and agreed with him as a player many times, but you can't disagree with his humanitarian stances on certain issues.",59.14476658298402,85.96383331538999
37613,راك ديرها على صوالح تافهة.,You do it for silly things.,ڨاع تديرها على جال صوالح تافهين.,100%,50.29978501047063,0.0
37268,المهم، عطيت شوية دراهم لبعض الطفلات فيهم. يعرفوا كيفاش يسلكو راسهم، بصحتهم، كاين دراهم بزاف اليوم.,"Anyway, I gave some money to a few girls among them. They'll handle it well, bravo, there's a lot of money today.",ڨاع، عطيت شوية دراهم لزوج بنات منهم. راح يخدموهم مليح، برافو، كاين دراهم بزاف اليوم.,"1000 dinars, I gave some money to some girls among them. They know how to handle themselves, may God bless them, there's a lot of money today.",44.929506558930775,63.58881770303479
2903,هي، الفيل يقولي، 'هي يا صاحبي، أو واو، يا صاحبي صاحب الخطوط'، وصحابه يسلموا، يسلموا، ويسلموا.,"Hey, the elephant tells me, 'Hey my friend, oh wow, my friend with the stripes,' and his friends greet, greet, and greet.",‹يا خويا، يا واو، خويا اللي عندو الخطوط›، والأصحاب تاعو يسلمو، يسلمو، ويتمتمو.,"<em>Hey, the elephant tells me, 'Hey my friend, oh wow, my friend the line owner,' and his friends greet, greet, and greet.</em>",23.011276255294728,82.71620000536268
28190,نطلوها من الفوق ونزيدو المايونيز. يلا كاش واحد ما يحبش المايونيز، تقدر تستعمل ياوورت طبيعي في بلاصتها. يعني يلا ما حبيتش هادي، تقدر تستعمل هاديك. هادي تجي من الفوق، وكي تاكل تخلطها. هاوليك المعدنوس، ولي ما يحبش المعدنوس، يقدر يستعمل الدبشة ولا الشبت - واش تحب، واش حبيت، مفهوم؟,"We’ll spread it on top and add mayonnaise. If someone doesn’t like mayonnaise, you can use yogurt instead. So if you don’t like this, you can use that. This will go on top, and while eating, you’ll mix it. Here’s parsley, and for those who don’t like parsley, they can use coriander or dill—whatever you like, whatever you want, okay?",ڨاع نوزعوها فوق ونزيدو المايونيز. إذا كاين اللي ما يحبش المايونيز، تقدر تستعمل ياغورت. إذن إذا ما تحبش هادي، تقدر تستعمل هادي. هادي تروح فوق، وكي تاكل تخلطها. ها هو المعدنوس، واللي ما يحبش المعدنوس، يقدر يستعمل الريحان ولا النعناع - واش تحب، واش حاب، اوكي؟,"1. We'll put it on top and add the mayonnaise. If anyone doesn't like mayonnaise, you can use natural yogurt instead. So if you don't like this, you can use that. This goes on top, and when you eat it, you mix it. Here's the parsley, and whoever doesn't like parsley, can use mint or chervil—whatever you like, whatever you want, okay?",58.13869245583512,67.28726273571358
38186,أنا وعمر جاوبنا، والإجابات تاعنا تصححت. خد هذي يا ميسي المقلق!,"Omar and I answered, and our responses were graded. Take that, you annoying Messi!",ڨاع أنا وعمر جاوبنا، والجوابات تاعنا تتقيم. ديها يا مسي تاعك!,"2 of us answered, and our answers were correct. Take this, Messi the annoying one!",46.99319443892092,45.917512218479025
26764,طبعا، نتخيل ثاني بلي هاد الشي يعتمد على التطبيق، كيما فاير تراك أكيد، رانا ناخدو متوسط اللي يقدر يطلع، ولا يقدر يهبط.,"Of course, I also imagine this will depend on the application, like Fire Track for sure, so we're taking an average that might go up, or it might go down.",ڨاع، نتخيل ثاني بلي هاد الشي راح يعتمد على التطبيق، كيما فاير تراك أكيد، إذن رانا نديو متوسط بالاك يطلع، بالاك يهبط.,"Of course, I also imagine that this depends on the application, like Fire Track for sure, we take the average that can go up, or can go down.",64.61288579119547,68.03644252323596
44119,آه,Oh,ڨاع,,0.0,0.0
36777,الماتش مشحون، مع ثلاثة مهاجمين راهم شاعلين نار وقاعدين يقدمو في أداء هايل.,"The game is intense, with three attackers who are on fire and performing really well.",ڨاع الماتشات راهم حارقة، كاين ثلاثة مهاجمين راهم شاعلين نار ودارين في أداء هايل بزاف.,"100% match, with three strikers who are on fire and performing really well.",58.22724852813765,68.85441291023311
38552,راك تقرا، حسين؟,"Are you studying, Hussein?",ڨاعد تقرا يا حسين؟,"<em>Are you studying, Hussein?</em>",30.720322592311533,79.84704771139516
1412,مليح، نقدر ندي حاجة قبل العرض؟,"Well, can I get something before the offer?",ڨاع، نقدر ندي حاجة قبل العرض؟,"1000 dinars, can I get something before the offer?",82.5658195511351,85.64512426642949
12638,الهلال راه واجد تاني باش يلحق لـ 65 مليون بخلص يلحق لنص مليون أورو في الأسبوع.,Hilal is also ready to reach 65 million with a salary that reaches half a million euros per week.,65 مليون هي تاني واجدين باش يلحقو لـ 65 مليون براتب يلحق نص مليون أورو في السمانة.,"65 million is also available for Al Hilal to reach, which would be half a million euros per week.",48.23567659294135,55.6225192190255
21315,مركز محمد,Mohamed's Center,ڨاع مركز محمد,1st Mohammed Center,89.06514941741985,43.65170214445007
33782,اليوم معنا ضيفتنا العزيزة وصديقة البرنامج. راها هنا اليوم باش تدير لنا تحليات، كي العادة. المالح غالي، بصح الحلو للي حلوين. تفضلي، يا مائدة.,"Today we have with us our beloved guest and a friend of the show. She's here today to make us desserts, as always. Savory dishes are expensive, but sweets are for those who are sweet. Please come in, Maida.",ڨاع اليوم عندنا ضيفة عزيزة علينا وصديقة البرنامج. راهي هنا اليوم باش ديرلنا حلويات، كيما العادة. الأطباق المليحة غالية، بصح الحلوى للي راهم حلوين. تفضلي ادخلي، مايدة.,"10:00 AM, our dear guest and the program's friend. She's here today to make us desserts, as usual. The salty one is expensive, but the sweet ones are for the sweet ones. Please, Maida.",52.79219350804525,50.57221160696741
13749,صح، مارتينيز ملاعبية كبير تاع كاس العالم لي في الأخير عاون الأرجنتين تدي كاس العالم. ودى الجايزة تاعها؛ دى جايزة أحسن حارس في البطولة في الفترة لي لعبنا فيها.,"It's true, Martinez is a great World Cup player who ultimately helped Argentina win the World Cup. He received its award; he won the best goalkeeper award in the tournament during the period we played.",ڨاع صح، مارتينيز لاعب عالمي كبير اللي في الأخير عاون الأرجنتين تربح كاس العالم. دا الجائزة تاعو؛ ربح جائزة أفضل حارس مرمى في البطولة في الفترة اللي لعبنا فيها.,"100%, Martinez is a great World Cup player who ended up helping Argentina win the World Cup. He won its award; he won the best goalkeeper award in the tournament during the period we played in.",56.59966303478443,80.56466488403329
16801,ربي يريح بالك.,May God grant you peace of mind.,ﷲ يريح بالك.,<em>May God grant you peace of mind.</em>,70.6069539922656,84.30219740106139
3351,نتمنى إن شاء الله النجاح يكون حلم يتحقق. يد في يد، نقدروا نحققوا حاجة كيما هذي لبلادنا ونحطوها في خارطة التكنولوجيا العالمية. هي شركة جزائرية 100 بالمئة، مدعومة ومصممة من طرف مهندسين جزائريين تلموا كامل على حلم واحد: نصدروا تكنولوجيا عالمية ونوصلوها للعالم كاع.,"I hope, God willing, that success will be a dream come true. Hand in hand, we can achieve something like this for our country and put it on the global technology map. It's a 100% Algerian company, backed and designed by Algerian engineers who have all united around one dream: to export global technology and deliver it to the whole world.",نتمنى إن شاء الله النجاح يكون حقيقة. بيدينا بيدينا، نقدروا نديروا حاجة كيما هادي للبلاد تاعنا ونحطوها في خريطة التكنولوجيا العالمية. شركة جزائرية 100%، مدعومة ومصممة من مهندسين جزائريين اللي كامل توحدوا حول حلم واحد: نصدرو التكنولوجيا العالمية ونوصلوها للعالم كامل.,"100% Algerian company, supported and designed by Algerian engineers who came together around one dream: to export global technology and bring it to the world.",63.81791558583857,41.473965001708955
20476,الشيخ علي,Sheikh Ali,ڨاع,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.142857142857142,0.0
3967,شوف، ها هو جاي واحد خرج دروك برك من الحبس.,"Look, someone is coming who just got out of prison.",ڨاع، كاين واحد جاي خرج غير من الحبس.,"10:00, look, here comes someone who just got out of prison.",33.69359897678588,64.46983534799014
42020,كي تقاسي على روحك بزاف، اعرف بلي راك في الطريق الغلط.,"When you're too hard on yourself, know that you're on the wrong path.",ڨاع كي تكون قاسي بزاف على روحك، عرف بلي راك في الطريق الغلط.,"1. When you suffer too much, know that you are on the wrong path.",66.96082819984646,56.314805904231946
47810,راني نقولك بلي نتا أسوأ مدرب في تاريخ النادي.,I'm telling you that you are the worst coach in the club's history.,ڨاع راني نقولك بلي نتا أسوأ مدرب في تاريخ النادي.,1 am telling you that you are the worst coach in the club's history.,98.19923449133903,94.96148933149436
3344,سفيان أمرابط راح يعلنوا عليه رسميا كلاعب لمانشستر يونايتد، آخذها مني.,"Sofyan Amrabat will be officially announced as a Manchester United player, take my word for it.",ڨوسيان أمربات راح يعلن رسمياً كلاعب تاع مانشستر يونايتد، صدقني.,"100% Sofyan Amrabat will be officially announced as a Manchester United player, take it from me.",41.194581812580076,83.49456764297744
35219,الحق، اليوم الثلاثي الهجومي، سواء محمد صلاح - لي دار أسيست للهدف الأخير، بصح ماهوش ماتش تاعه - ولا لويس دياز، لي هو تاني ما كانش في أحسن حالاته اليوم، كامل القوة الهجومية كانت جاية من وسط الميدان.,"The truth is, today the attacking trio, whether it's Mohamed Salah—who did make an assist for the last goal, but it wasn't his match—or Luis Diaz, who also wasn't at his best today, all the attacking force was coming from midfield.",ڨاع الحقيقة، اليوم الثلاثي الهجومي، سواء محمد صلاح - اللي دار أسيست للهدف اللخر، بصح ماشي ماتش تاعو - ولا لويس دياز، اللي تاني ما كانش في أحسن حالاتو اليوم، قاع القوة الهجومية كانت جاية من وسط الميدان.,"100%, today the attacking trio, whether it's Mohamed Salah – who provided the assist for the last goal, but it wasn't his best match – or Luis Diaz, who wasn't at his best today, all the attacking power was coming from midfield.",75.02502616497293,77.48129144772416
6088,كعباد، رانا مركزين على هاد السؤال واخا بالك راك عقل على الجواب من قبل.,"As people, we focus on this question even though you probably already know the answer.",ڨاع كيما الناس، رانا مركزين على هاد السؤال رغم أنك بالاك راك تعرف الجواب ديجا.,"100%, we're focused on this question even though you might have already thought of the answer.",48.0264543066258,57.444057523191915
43388,قلتلك كاع واش كاين من الأول، وقلتلك ما نقدروش ندخلو للغار حتى نأخذو إذن الحارس. هذا هو الاتفاق اللي كان بيننا وبينو.,"I've told you everything from the start, and I told you we can't enter the cave unless we get the caretaker's permission. This is the agreement we've had with him.",ڨلتلك كلش من البداية، و ڨلتلك بلي ما نقدرش ندخلوا للغار إلا إذا ددينا إذن من الحارس. هادي هي الاتفاقية اللي درناها معاه.,"100% I told you everything from the beginning, and I told you we can't enter the cave until we get the guard's permission. That was the agreement between us and him.",32.15029900173947,65.17752315426051
47512,رانا نخدمو في السوق من 2021، وبالضبط من ماي. من 2021 حتى اليوم، بعنا كتر من 10 ملايين دينار تاع منتجات. الحمد لله، قدرنا ننتجو منتوج جزائري ينافس المنتجات الأجنبية بتكلفة أقل وبنفس الجودة. أكيد، نتمنوا يكون عندنا منتجات كتر في مجال الضواغط (كومبريسور)، سواء للمصانع الكبيرة، مصانع الإسمنت، ولا أي حاجة عندها علاقة بالضواغط. راني مقلق شوية، بصح علاش راك واقف هكذا؟ خاطر كاين حاجة حداك خدمتها نتا. نتمنوا نديرو كتر من هكذا، بصح ما نقدروا نحققو والو بلا دعمكم.,"We have been working in the market since 2021, specifically since May. From 2021 until today, we have sold more than 10 million dinars worth of products. Thank God, we were able to produce an Algerian product that competes with foreign products at a much lower cost and with similar quality. Of course, we hope to have more products in the compressor field, whether for large factories, cement factories, or anything related to compressors. I'm a bit nervous, but why are you standing so firmly? Because there's something next to you that you made. We hope we can do more than this, but we won't be able to achieve anything without your support.",2021 رانا نخدمو في السوق، وبالضبط من شهر ماي. من 2021 حتى لدروك، بعنا كثر من 10 ملايين دينار تاع منتجات. الحمد لله، قدرنا ننتجو منتج جزائري ينافس المنتجات الأجنبية بسعر أقل بكثير ونفس الجودة. بالطبع، نتمنو يكون عندنا منتجات كثر في مجال الضواغط، سواء للمصانع الكبيرة، مصانع السمنت، ولا أي حاجة تخص الضواغط. راني شوية مقلق، بصح علاش,"2021, and specifically from May. From 2021 until today, we have sold more than 10 million dinars worth of products. Thank God, we managed to produce a local product that competes with foreign products at a lower cost with the same quality. Of course, we wish we had more products in the compressor field, whether for large factories, cement factories, or anything related to compressors. I'm a bit worried, but why are you standing like this? Because there's something next to you that you've worked on. We wish we could do more than this, but we can",55.32273870180413,71.18338544748629
39528,إذن شكون فينا اللي عيط لمايا للعشا؟,So which one of us invited May to dinner?,ڨاع شكون فينا اللي عيط لمي عشا؟,So who among us called Maya for dinner?,61.09293532363519,31.592884990146935
26263,يا يما، الزمان غدار، داولي حبابي. يا دنيا.,"Oh mother, time is treacherous, it took my loved ones away from me. Oh, life.",ڨاع يا يما، الوقت غدار، دّي لي حبابي مني. يا حياة.,0,46.97097410502805,0.0
10561,رانيش,I'm not,ڨاع ما رانيش,100,72.99119427627959,0.0
24539,الراجل راح,The man left,ڨاع راح,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,17.647607078067825,0.0
20603,راني نعطيك أوسكار بيديا. واش صرا؟ خلينا نعطيوها فرصة وحدة أخرى.,I'm giving you an Oscar with my own hands. What happened? Let's give it another chance.,ڨاعد نعطيك أوسكار بيدي. واش صرا؟ خلونا نعطوه فرصة أخرى.,100% Oscar Bedia. What happened? Let's give him another chance.,55.1425617108983,52.32797671322997
